,Index,Report,Size
132,133,MULTI-RESISTANT ORGANISM SCREEN,276
133,134,MICROBIOLOGY,416
134,135,URINE MICROBIOLOGY,413
135,136,MULTI-RESISTANT ORGANISM SCREEN,275
136,137,MULTI-RESISTANT ORGANISM SCREEN,276
137,138,MULTI-RESISTANT ORGANISM SCREEN,275
138,139,MULTI-RESISTANT ORGANISM SCREEN,273
139,140,MICROBIOLOGY,690
140,141,MULTI-RESISTANT ORGANISM SCREEN,274
141,142,BLOOD CULTURE MICROBIOLOGY,294
142,143,RESPIRATORY MICROBIOLOGY,1209
143,144,URINE MICROBIOLOGY,401
144,145,MULTI-RESISTANT ORGANISM SCREEN,276
145,146,MULTI-RESISTANT ORGANISM SCREEN,269
146,147,RESPIRATORY MICROBIOLOGY,886
147,148,MULTI-RESISTANT ORGANISM SCREEN,273
148,149,BLOOD CULTURE MICROBIOLOGY,236
149,150,MULTI-RESISTANT ORGANISM SCREEN,274
150,151,MULTI-RESISTANT ORGANISM SCREEN,254
151,152,MULTI-RESISTANT ORGANISM SCREEN,268
152,153,URINE MICROBIOLOGY,607
153,154,RESPIRATORY MICROBIOLOGY,435
154,155,RESPIRATORY MICROBIOLOGY,442
155,156,BLOOD CULTURE MICROBIOLOGY,229
156,157,MULTI-RESISTANT ORGANISM SCREEN,276
157,158,MULTI-RESISTANT ORGANISM SCREEN,276
158,159,MULTI-RESISTANT ORGANISM SCREEN,274
159,160,MULTI-RESISTANT ORGANISM SCREEN,276
160,161,MULTI-RESISTANT ORGANISM SCREEN,254
161,162,MULTI-RESISTANT ORGANISM SCREEN,254
162,163,MULTI-RESISTANT ORGANISM SCREEN,275
163,164,MULTI-RESISTANT ORGANISM SCREEN,273
164,165,MULTI-RESISTANT ORGANISM SCREEN,275
165,166,MULTI-RESISTANT ORGANISM SCREEN,254
166,167,BLOOD CULTURE MICROBIOLOGY,236
167,168,MULTI-RESISTANT ORGANISM SCREEN,275
168,169,BLOOD CULTURE MICROBIOLOGY,294
169,170,BLOOD CULTURE MICROBIOLOGY,520
170,171,MULTI-RESISTANT ORGANISM SCREEN,273
171,172,MULTI-RESISTANT ORGANISM SCREEN,276
172,173,URINE MICROBIOLOGY,1028
173,174,MULTI-RESISTANT ORGANISM SCREEN,272
174,175,MULTI-RESISTANT ORGANISM SCREEN,275
175,176,RESPIRATORY MICROBIOLOGY,457
176,177,RESPIRATORY MICROBIOLOGY,646
177,178,MULTI-RESISTANT ORGANISM SCREEN,378
178,179,URINE MICROBIOLOGY,570
179,180,URINE MICROBIOLOGY,399
180,181,MULTI-RESISTANT ORGANISM SCREEN,275
181,182,BLOOD CULTURE MICROBIOLOGY,497
182,183,MULTI-RESISTANT ORGANISM SCREEN,275
183,184,MULTI-RESISTANT ORGANISM SCREEN,276
184,185,BLOOD CULTURE MICROBIOLOGY,264
185,186,MULTI-RESISTANT ORGANISM SCREEN,276
186,187,URINE MICROBIOLOGY,513
187,188,CATHETER TIP MICROBIOLOGY,253
188,189,RESPIRATORY MICROBIOLOGY,1652
189,190,MULTI-RESISTANT ORGANISM SCREEN,276
190,191,RESPIRATORY MICROBIOLOGY,1152
191,192,C difficile screening,237
192,193,MULTI-RESISTANT ORGANISM SCREEN,247
193,194,CATHETER TIP MICROBIOLOGY,374
194,195,MULTI-RESISTANT ORGANISM SCREEN,268
195,196,MULTI-RESISTANT ORGANISM SCREEN,254
196,197,RESPIRATORY MICROBIOLOGY,1027
197,198,MULTI-RESISTANT ORGANISM SCREEN,275
198,199,C difficile screening,454
199,200,MULTI-RESISTANT ORGANISM SCREEN,276
200,201,MULTI-RESISTANT ORGANISM SCREEN,269
201,202,BLOOD CULTURE MICROBIOLOGY,234
202,203,CATHETER TIP MICROBIOLOGY,267
203,204,RESPIRATORY MICROBIOLOGY,1518
204,205,RESPIRATORY MICROBIOLOGY,1580
205,206,MULTI-RESISTANT ORGANISM SCREEN,276
206,207,MULTI-RESISTANT ORGANISM SCREEN,275
207,208,URINE MICROBIOLOGY,1194
208,209,URINE MICROBIOLOGY,1055
209,210,CATHETER TIP MICROBIOLOGY,280
210,211,MULTI-RESISTANT ORGANISM SCREEN,254
211,212,BLOOD CULTURE MICROBIOLOGY,236
212,213,MULTI-RESISTANT ORGANISM SCREEN,275
213,214,BLOOD CULTURE MICROBIOLOGY,236
214,215,RESPIRATORY MICROBIOLOGY,1443
215,216,URINE MICROBIOLOGY,421
216,217,URINE MICROBIOLOGY,401
217,218,MULTI-RESISTANT ORGANISM SCREEN,254
218,219,MICROBIOLOGY,441
219,220,MULTI-RESISTANT ORGANISM SCREEN,275
220,221,BLOOD CULTURE MICROBIOLOGY,294
221,222,MULTI-RESISTANT ORGANISM SCREEN,254
222,223,MULTI-RESISTANT ORGANISM SCREEN,275
223,224,MULTI-RESISTANT ORGANISM SCREEN,276
224,225,MICROBIOLOGY,405
225,226,BLOOD CULTURE MICROBIOLOGY,294
226,227,MICROBIOLOGY,1419
227,228,BLOOD CULTURE MICROBIOLOGY,260
228,229,MULTI-RESISTANT ORGANISM SCREEN,276
229,230,MULTI-RESISTANT ORGANISM SCREEN,263
230,231,MULTI-RESISTANT ORGANISM SCREEN,262
231,232,BLOOD CULTURE MICROBIOLOGY,257
232,233,MICROBIOLOGY,440
233,234,URINE MICROBIOLOGY,1310
234,235,MULTI-RESISTANT ORGANISM SCREEN,275
235,236,MULTI-RESISTANT ORGANISM SCREEN,254
236,237,MULTI-RESISTANT ORGANISM SCREEN,276
237,238,MULTI-RESISTANT ORGANISM SCREEN,275
238,239,URINE MICROBIOLOGY,421
239,240,MULTI-RESISTANT ORGANISM SCREEN,276
240,241,MICROBIOLOGY,439
241,242,MULTI-RESISTANT ORGANISM SCREEN,275
242,243,RESPIRATORY MICROBIOLOGY,858
243,244,MICROBIOLOGY,407
244,245,MULTI-RESISTANT ORGANISM SCREEN,247
245,246,MULTI-RESISTANT ORGANISM SCREEN,254
246,247,BLOOD CULTURE MICROBIOLOGY,236
247,248,MICROBIOLOGY,405
248,249,RESPIRATORY MICROBIOLOGY,416
249,250,MULTI-RESISTANT ORGANISM SCREEN,254
250,251,RESPIRATORY MICROBIOLOGY,840
251,252,MULTI-RESISTANT ORGANISM SCREEN,267
252,253,URINE MICROBIOLOGY,401
253,254,URINE MICROBIOLOGY,401
254,255,MICROBIOLOGY,533
255,256,MULTI-RESISTANT ORGANISM SCREEN,275
256,257,MULTI-RESISTANT ORGANISM SCREEN,266
257,258,MICROBIOLOGY,404
258,259,MULTI-RESISTANT ORGANISM SCREEN,254
259,260,BLOOD CULTURE MICROBIOLOGY,236
260,261,MICROBIOLOGY,411
261,262,CATHETER TIP MICROBIOLOGY,280
262,263,URINE MICROBIOLOGY,1200
263,264,URINE MICROBIOLOGY,421
264,265,URINE MICROBIOLOGY,401
265,267,RESPIRATORY MICROBIOLOGY,930
266,268,BLOOD CULTURE MICROBIOLOGY,264
267,269,URINE MICROBIOLOGY,401
268,271,MULTI-RESISTANT ORGANISM SCREEN,247
269,272,MULTI-RESISTANT ORGANISM SCREEN,266
270,273,MULTI-RESISTANT ORGANISM SCREEN,269
271,274,MICROBIOLOGY,448
272,275,MULTI-RESISTANT ORGANISM SCREEN,268
273,276,MULTI-RESISTANT ORGANISM SCREEN,276
274,277,BLOOD CULTURE MICROBIOLOGY,236
275,278,MICROBIOLOGY,440
276,279,MULTI-RESISTANT ORGANISM SCREEN,276
277,280,C difficile screening,266
278,281,MULTI-RESISTANT ORGANISM SCREEN,254
279,282,MULTI-RESISTANT ORGANISM SCREEN,275
280,283,MULTI-RESISTANT ORGANISM SCREEN,275
281,284,MULTI-RESISTANT ORGANISM SCREEN,276
282,285,CATHETER TIP MICROBIOLOGY,218
283,286,MULTI-RESISTANT ORGANISM SCREEN,276
284,287,MULTI-RESISTANT ORGANISM SCREEN,276
285,288,MULTI-RESISTANT ORGANISM SCREEN,276
286,289,URINE MICROBIOLOGY,1130
287,290,MULTI-RESISTANT ORGANISM SCREEN,275
288,291,MULTI-RESISTANT ORGANISM SCREEN,254
289,292,MULTI-RESISTANT ORGANISM SCREEN,275
290,293,MULTI-RESISTANT ORGANISM SCREEN,254
291,294,CATHETER TIP MICROBIOLOGY,281
292,295,MULTI-RESISTANT ORGANISM SCREEN,275
293,296,RESPIRATORY MICROBIOLOGY,1236
294,297,URINE MICROBIOLOGY,401
295,298,MULTI-RESISTANT ORGANISM SCREEN,343
296,299,BLOOD CULTURE MICROBIOLOGY,294
297,300,MULTI-RESISTANT ORGANISM SCREEN,276
298,301,MULTI-RESISTANT ORGANISM SCREEN,254
299,302,BLOOD CULTURE MICROBIOLOGY,294
300,303,MULTI-RESISTANT ORGANISM SCREEN,276
301,304,MULTI-RESISTANT ORGANISM SCREEN,275
302,305,URINE MICROBIOLOGY,456
303,306,MULTI-RESISTANT ORGANISM SCREEN,254
304,307,MULTI-RESISTANT ORGANISM SCREEN,254
305,308,MULTI-RESISTANT ORGANISM SCREEN,276
306,309,URINE MICROBIOLOGY,316
307,310,BLOOD CULTURE MICROBIOLOGY,264
308,311,MULTI-RESISTANT ORGANISM SCREEN,275
309,312,CATHETER TIP MICROBIOLOGY,243
310,313,MULTI-RESISTANT ORGANISM SCREEN,254
311,314,RESPIRATORY MICROBIOLOGY,1341
312,315,RESPIRATORY MICROBIOLOGY,533
313,316,MULTI-RESISTANT ORGANISM SCREEN,275
314,317,URINE MICROBIOLOGY,421
315,318,MULTI-RESISTANT ORGANISM SCREEN,276
316,319,RESPIRATORY MICROBIOLOGY,413
317,320,BLOOD CULTURE MICROBIOLOGY,236
318,321,MULTI-RESISTANT ORGANISM SCREEN,254
319,322,BLOOD CULTURE MICROBIOLOGY,427
320,323,CATHETER TIP MICROBIOLOGY,261
321,324,BLOOD CULTURE MICROBIOLOGY,236
322,325,FAECES MICROBIOLOGY,436
323,326,MULTI-RESISTANT ORGANISM SCREEN,254
324,327,MULTI-RESISTANT ORGANISM SCREEN,263
325,328,BLOOD CULTURE MICROBIOLOGY,593
326,329,MULTI-RESISTANT ORGANISM SCREEN,247
327,330,BLOOD CULTURE MICROBIOLOGY,228
328,331,MULTI-RESISTANT ORGANISM SCREEN,262
329,332,URINE MICROBIOLOGY,401
330,333,RESPIRATORY MICROBIOLOGY,517
331,334,BLOOD CULTURE MICROBIOLOGY,228
332,335,RESPIRATORY MICROBIOLOGY,521
333,336,MICROBIOLOGY,691
334,337,CATHETER TIP MICROBIOLOGY,265
335,338,RESPIRATORY MICROBIOLOGY,457
336,339,MULTI-RESISTANT ORGANISM SCREEN,254
337,340,MULTI-RESISTANT ORGANISM SCREEN,276
338,341,MULTI-RESISTANT ORGANISM SCREEN,245
339,342,MULTI-RESISTANT ORGANISM SCREEN,254
340,343,URINE MICROBIOLOGY,743
341,344,MULTI-RESISTANT ORGANISM SCREEN,275
342,345,MULTI-RESISTANT ORGANISM SCREEN,275
343,346,BLOOD CULTURE MICROBIOLOGY,236
344,347,MULTI-RESISTANT ORGANISM SCREEN,254
345,348,MULTI-RESISTANT ORGANISM SCREEN,276
346,349,MULTI-RESISTANT ORGANISM SCREEN,269
347,350,MULTI-RESISTANT ORGANISM SCREEN,276
348,351,MULTI-RESISTANT ORGANISM SCREEN,275
349,352,MULTI-RESISTANT ORGANISM SCREEN,275
350,354,URINE MICROBIOLOGY,412
351,355,MULTI-RESISTANT ORGANISM SCREEN,268
352,356,MULTI-RESISTANT ORGANISM SCREEN,275
353,357,MULTI-RESISTANT ORGANISM SCREEN,276
354,358,URINE MICROBIOLOGY,456
355,359,BLOOD CULTURE MICROBIOLOGY,350
356,360,MULTI-RESISTANT ORGANISM SCREEN,275
357,361,URINE MICROBIOLOGY,401
358,362,BLOOD CULTURE MICROBIOLOGY,236
359,363,RESPIRATORY MICROBIOLOGY,666
360,364,MULTI-RESISTANT ORGANISM SCREEN,276
361,365,MULTI-RESISTANT ORGANISM SCREEN,275
362,366,MULTI-RESISTANT ORGANISM SCREEN,276
363,367,MULTI-RESISTANT ORGANISM SCREEN,254
364,368,MULTI-RESISTANT ORGANISM SCREEN,275
365,369,RESPIRATORY MICROBIOLOGY,612
366,370,BLOOD CULTURE MICROBIOLOGY,236
367,371,URINE MICROBIOLOGY,520
368,372,MULTI-RESISTANT ORGANISM SCREEN,275
369,373,MULTI-RESISTANT ORGANISM SCREEN,276
370,374,BLOOD CULTURE MICROBIOLOGY,459
371,375,MULTI-RESISTANT ORGANISM SCREEN,254
372,376,MULTI-RESISTANT ORGANISM SCREEN,247
373,377,CATHETER TIP MICROBIOLOGY,810
374,378,MULTI-RESISTANT ORGANISM SCREEN,275
375,379,MULTI-RESISTANT ORGANISM SCREEN,276
376,380,URINE MICROBIOLOGY,1169
377,381,URINE MICROBIOLOGY,491
378,382,URINE MICROBIOLOGY,401
379,383,MULTI-RESISTANT ORGANISM SCREEN,276
380,384,MULTI-RESISTANT ORGANISM SCREEN,276
381,385,BLOOD CULTURE MICROBIOLOGY,236
382,386,RESPIRATORY MICROBIOLOGY,401
383,387,MULTI-RESISTANT ORGANISM SCREEN,275
384,388,URINE MICROBIOLOGY,602
385,389,URINE MICROBIOLOGY,417
386,390,MULTI-RESISTANT ORGANISM SCREEN,254
387,391,MICROBIOLOGY,448
388,392,MULTI-RESISTANT ORGANISM SCREEN,275
389,393,FAECES MICROBIOLOGY,448
390,394,MULTI-RESISTANT ORGANISM SCREEN,275
391,395,MULTI-RESISTANT ORGANISM SCREEN,275
392,396,URINE MICROBIOLOGY,421
393,397,URINE MICROBIOLOGY,508
394,398,MULTI-RESISTANT ORGANISM SCREEN,276
395,399,RESPIRATORY MICROBIOLOGY,822
396,400,MULTI-RESISTANT ORGANISM SCREEN,254
397,401,MULTI-RESISTANT ORGANISM SCREEN,277
398,402,MULTI-RESISTANT ORGANISM SCREEN,275
399,403,MULTI-RESISTANT ORGANISM SCREEN,276
400,404,MULTI-RESISTANT ORGANISM SCREEN,275
401,405,MULTI-RESISTANT ORGANISM SCREEN,276
402,406,MULTI-RESISTANT ORGANISM SCREEN,276
403,407,MULTI-RESISTANT ORGANISM SCREEN,275
404,408,URINE MICROBIOLOGY,413
405,409,MULTI-RESISTANT ORGANISM SCREEN,254
406,410,MULTI-RESISTANT ORGANISM SCREEN,254
407,411,MICROBIOLOGY,470
408,412,MULTI-RESISTANT ORGANISM SCREEN,275
409,413,MULTI-RESISTANT ORGANISM SCREEN,276
410,414,RESPIRATORY MICROBIOLOGY,1570
411,415,MULTI-RESISTANT ORGANISM SCREEN,274
412,416,MULTI-RESISTANT ORGANISM SCREEN,273
413,417,URINE MICROBIOLOGY,399
414,418,MICROBIOLOGY,1302
415,419,MULTI-RESISTANT ORGANISM SCREEN,252
416,420,MULTI-RESISTANT ORGANISM SCREEN,273
417,421,RESPIRATORY MICROBIOLOGY,470
418,422,MULTI-RESISTANT ORGANISM SCREEN,274
419,423,BLOOD CULTURE MICROBIOLOGY,684
420,424,MULTI-RESISTANT ORGANISM SCREEN,276
421,425,MULTI-RESISTANT ORGANISM SCREEN,276
422,426,MULTI-RESISTANT ORGANISM SCREEN,273
423,427,BLOOD CULTURE MICROBIOLOGY,801
424,428,MULTI-RESISTANT ORGANISM SCREEN,275
425,429,MULTI-RESISTANT ORGANISM SCREEN,275
426,430,MULTI-RESISTANT ORGANISM SCREEN,276
427,431,MULTI-RESISTANT ORGANISM SCREEN,275
428,432,MULTI-RESISTANT ORGANISM SCREEN,276
429,433,MULTI-RESISTANT ORGANISM SCREEN,275
430,434,BLOOD CULTURE MICROBIOLOGY,502
431,435,MULTI-RESISTANT ORGANISM SCREEN,254
432,436,BLOOD CULTURE MICROBIOLOGY,281
433,437,URINE MICROBIOLOGY,1031
434,438,MULTI-RESISTANT ORGANISM SCREEN,276
435,439,MULTI-RESISTANT ORGANISM SCREEN,254
436,440,MULTI-RESISTANT ORGANISM SCREEN,275
437,441,URINE MICROBIOLOGY,616
438,442,MULTI-RESISTANT ORGANISM SCREEN,275
439,443,MULTI-RESISTANT ORGANISM SCREEN,276
440,444,MICROBIOLOGY,880
441,445,CATHETER TIP MICROBIOLOGY,350
442,446,MULTI-RESISTANT ORGANISM SCREEN,273
443,447,CEREBROSPINAL FLUID MICROBIOLOGY,960
444,448,MULTI-RESISTANT ORGANISM SCREEN,274
445,449,MULTI-RESISTANT ORGANISM SCREEN,252
446,450,BLOOD CULTURE MICROBIOLOGY,236
447,451,MULTI-RESISTANT ORGANISM SCREEN,274
448,452,BLOOD CULTURE MICROBIOLOGY,562
449,453,MULTI-RESISTANT ORGANISM SCREEN,275
450,454,MULTI-RESISTANT ORGANISM SCREEN,254
451,455,MULTI-RESISTANT ORGANISM SCREEN,275
452,456,MULTI-RESISTANT ORGANISM SCREEN,275
453,457,MULTI-RESISTANT ORGANISM SCREEN,276
454,458,MULTI-RESISTANT ORGANISM SCREEN,276
455,459,MULTI-RESISTANT ORGANISM SCREEN,276
456,460,MULTI-RESISTANT ORGANISM SCREEN,274
457,461,MULTI-RESISTANT ORGANISM SCREEN,275
458,462,MULTI-RESISTANT ORGANISM SCREEN,276
459,463,RESPIRATORY MICROBIOLOGY,976
460,464,RESPIRATORY MICROBIOLOGY,573
461,465,URINE MICROBIOLOGY,461
462,466,MULTI-RESISTANT ORGANISM SCREEN,275
463,467,URINE MICROBIOLOGY,569
464,468,MULTI-RESISTANT ORGANISM SCREEN,252
465,469,MULTI-RESISTANT ORGANISM SCREEN,276
466,470,URINE MICROBIOLOGY,401
467,471,MULTI-RESISTANT ORGANISM SCREEN,273
468,472,MULTI-RESISTANT ORGANISM SCREEN,276
469,473,MULTI-RESISTANT ORGANISM SCREEN,275
470,474,MULTI-RESISTANT ORGANISM SCREEN,275
471,475,MULTI-RESISTANT ORGANISM SCREEN,254
472,476,BLOOD CULTURE MICROBIOLOGY,236
473,477,MULTI-RESISTANT ORGANISM SCREEN,276
474,478,MULTI-RESISTANT ORGANISM SCREEN,275
475,479,MULTI-RESISTANT ORGANISM SCREEN,274
476,480,MULTI-RESISTANT ORGANISM SCREEN,276
477,481,BODY FLUID EXAMINATION,957
478,482,MULTI-RESISTANT ORGANISM SCREEN,254
479,483,MULTI-RESISTANT ORGANISM SCREEN,275
480,484,MULTI-RESISTANT ORGANISM SCREEN,273
481,485,BLOOD CULTURE MICROBIOLOGY,560
482,486,MULTI-RESISTANT ORGANISM SCREEN,276
483,487,MULTI-RESISTANT ORGANISM SCREEN,275
484,488,MULTI-RESISTANT ORGANISM SCREEN,275
485,489,MULTI-RESISTANT ORGANISM SCREEN,395
486,490,MULTI-RESISTANT ORGANISM SCREEN,276
487,491,URINE MICROBIOLOGY,489
488,492,MULTI-RESISTANT ORGANISM SCREEN,276
489,493,MULTI-RESISTANT ORGANISM SCREEN,276
490,494,MULTI-RESISTANT ORGANISM SCREEN,276
491,495,MULTI-RESISTANT ORGANISM SCREEN,343
492,496,MULTI-RESISTANT ORGANISM SCREEN,254
493,497,MULTI-RESISTANT ORGANISM SCREEN,266
494,498,URINE MICROBIOLOGY,413
495,499,MULTI-RESISTANT ORGANISM SCREEN,275
496,500,MULTI-RESISTANT ORGANISM SCREEN,275
497,501,MULTI-RESISTANT ORGANISM SCREEN,267
498,502,MULTI-RESISTANT ORGANISM SCREEN,254
499,503,URINE MICROBIOLOGY,476
500,504,MULTI-RESISTANT ORGANISM SCREEN,276
501,505,MULTI-RESISTANT ORGANISM SCREEN,254
502,506,MULTI-RESISTANT ORGANISM SCREEN,269
503,507,RESPIRATORY MICROBIOLOGY,1086
504,508,MULTI-RESISTANT ORGANISM SCREEN,276
505,509,MULTI-RESISTANT ORGANISM SCREEN,247
506,510,URINE MICROBIOLOGY,401
507,511,MULTI-RESISTANT ORGANISM SCREEN,275
508,512,MULTI-RESISTANT ORGANISM SCREEN,268
509,513,BLOOD CULTURE MICROBIOLOGY,236
510,514,MULTI-RESISTANT ORGANISM SCREEN,276
511,516,MICROBIOLOGY,1500
512,517,MULTI-RESISTANT ORGANISM SCREEN,262
513,518,MULTI-RESISTANT ORGANISM SCREEN,275
514,519, THROAT MICROBIOLOGY,1484
515,520,MULTI-RESISTANT ORGANISM SCREEN,276
516,521,MULTI-RESISTANT ORGANISM SCREEN,263
517,522,URINE MICROBIOLOGY,505
518,523,MULTI-RESISTANT ORGANISM SCREEN,270
519,524,BLOOD CULTURE MICROBIOLOGY,236
520,525,MULTI-RESISTANT ORGANISM SCREEN,247
521,526,BLOOD CULTURE MICROBIOLOGY,236
522,527,MULTI-RESISTANT ORGANISM SCREEN,271
523,528,MULTI-RESISTANT ORGANISM SCREEN,276
524,529,RESPIRATORY MICROBIOLOGY,1146
525,530,MULTI-RESISTANT ORGANISM SCREEN,254
526,531,MICROBIOLOGY,395
527,532,MULTI-RESISTANT ORGANISM SCREEN,275
528,533,MULTI-RESISTANT ORGANISM SCREEN,276
529,534,MULTI-RESISTANT ORGANISM SCREEN,276
530,535,MULTI-RESISTANT ORGANISM SCREEN,275
